ID,PW,PH(V)/PW,PH/PW,SA,SA/PH(V)*PW,SFD,G_g,f2,f3,f4,f5,f7,f8,f9,f10,LD1,LD2,LD3,LD5,WC,IDNumber,Type
153,988,1.434210526,1.532129619,125618.25,0.09,1.414,14.35044809,0.166,0.103,0.08,0.067,0.04,0.027,0.017,0.011,0.08,0.426,0.235,0.066,0.818063888,119,
159,935,1.238502674,1.329727823,197693.333,0.18,1.481,14.89451662,0.144,0.072,0.048,0.037,0.032,0.034,0.037,0.044,0.065,0.337,0.145,0.094,0.719597712,120,
160,803,1.257783313,1.290375472,175429.917,0.22,1.473,14.50214151,0.15,0.095,0.078,0.062,0.047,0.052,0.06,0.062,0.064,0.287,0.199,0.13,0.852852853,121,
161,787,1.147395172,1.227764498,215932.833,0.3,1.502,14.69203419,0.138,0.092,0.069,0.056,0.045,0.045,0.043,0.045,0.051,0.267,0.189,0.106,0.785546613,122,
162,1199,1.196830692,1.179982879,355843.5,0.21,1.547,15.29127756,0.172,0.117,0.082,0.065,0.05,0.045,0.042,0.036,0.061,0.349,0.211,0.115,0.79182442,123,
163,945,1.332275132,1.367310243,277142.083,0.23,1.519,15.13609298,0.14,0.094,0.071,0.059,0.045,0.043,0.045,0.05,0.061,0.281,0.182,0.109,0.736772258,124,
164,906,1.362030905,1.437817074,217102.083,0.19,1.481,15.15127434,0.139,0.077,0.053,0.046,0.035,0.035,0.038,0.044,0.069,0.292,0.162,0.097,0.71408355,125,
165,867,1.192618224,1.21946907,183481.75,0.2,1.476,14.91023407,0.15,0.082,0.056,0.052,0.063,0.063,0.05,0.035,0.055,0.321,0.188,0.142,0.711922812,126,
167,1156,0.941176471,1.056114251,334600.75,0.27,1.56,14.98603981,0.143,0.091,0.06,0.047,0.042,0.039,0.044,0.056,0.063,0.275,0.162,0.105,0.794859921,127,
168,860,1.194186047,1.261609499,193050.667,0.22,1.484,14.66087494,0.137,0.095,0.076,0.067,0.052,0.051,0.047,0.047,0.059,0.292,0.186,0.126,0.756953073,128,
169,688,1.235465116,1.264454347,108372.417,0.19,1.403,14.38864052,0.152,0.096,0.076,0.07,0.051,0.05,0.055,0.051,0.067,0.288,0.212,0.143,0.754936121,129,
170,702,1.4002849,1.472269204,143305.417,0.21,1.442,14.63844828,0.144,0.084,0.061,0.055,0.043,0.045,0.053,0.047,0.071,0.289,0.172,0.129,0.729547808,130,
171,1225,1.081632653,1.232478596,268688.167,0.17,1.507,15.26454581,0.17,0.11,0.082,0.069,0.056,0.041,0.022,0.012,0.063,0.4,0.23,0.085,0.798038775,131,
172,951,1.249211356,1.285160184,177068.583,0.16,1.467,14.74409034,0.177,0.11,0.073,0.048,0.033,0.035,0.039,0.034,0.088,0.367,0.222,0.084,0.833407015,132,
173,1226,1.017128874,1.260527188,324840.5,0.21,1.537,15.22253618,0.161,0.11,0.092,0.074,0.052,0.044,0.038,0.027,0.054,0.346,0.253,0.103,0.768702979,133,
