ID,PW,PH(V)/PW,SA,SA/PH(V)*PW,G_g,f2,f3,f4,f7,f9,f10,LD1,WC,IDNumber,Type
W321,1219,0.862182116,491275.333,0.38,15.27438512,0.138,0.104,0.08,0.053,0.053,0.055,0.036,0.814707542,395,C
2,1071,1.342670401,261607,0.17,15.44132545,0.172,0.091,0.057,0.038,0.038,0.048,0.085,0.818944699,2,D
6,739,1.271989175,162925.25,0.23,14.78217411,0.148,0.081,0.058,0.039,0.054,0.061,0.075,0.745497568,5,D
7,842,1.173396675,222355.083,0.27,15.01047869,0.129,0.083,0.061,0.042,0.053,0.062,0.066,0.74407696,6,D
8,778,1.026992288,188860.833,0.3,14.4352609,0.137,0.097,0.071,0.041,0.04,0.043,0.062,0.829440906,7,D
9,912,1.088815789,224910.583,0.25,14.78919787,0.13,0.079,0.059,0.041,0.053,0.067,0.057,0.738732679,8,D
11,912,1.400219298,318124.667,0.27,15.41282103,0.146,0.089,0.062,0.047,0.054,0.06,0.056,0.809871188,9,D
12,951,1.158780231,265940.333,0.25,14.8432276,0.13,0.086,0.067,0.049,0.054,0.06,0.061,0.806626314,10,D
28,519,1.807321773,126739.917,0.26,14.37043297,0.122,0.083,0.067,0.051,0.069,0.063,0.063,0.79057917,18,D
31,1039,0.952839269,203700.417,0.2,14.94907723,0.132,0.084,0.071,0.06,0.077,0.057,0.054,0.731866893,20,D
33,1168,1.054794521,374822.167,0.26,15.34917491,0.137,0.084,0.068,0.049,0.047,0.057,0.053,0.806393099,21,D
37,1097,1.085688241,262459.083,0.2,15.19381553,0.136,0.086,0.058,0.049,0.053,0.064,0.059,0.717967352,22,D
39,1222,0.929623568,297407,0.21,15.31318617,0.147,0.092,0.066,0.047,0.051,0.059,0.056,0.73367822,24,D
42,932,1.180257511,263522.667,0.26,14.95997324,0.135,0.088,0.066,0.051,0.051,0.052,0.055,0.744157692,26,D
43,943,1.107104984,265476.25,0.27,15.13750935,0.128,0.08,0.068,0.048,0.047,0.056,0.047,0.713377117,27,D
44,985,1.132994924,235769.583,0.21,14.98995048,0.123,0.077,0.052,0.037,0.045,0.066,0.072,0.71898883,28,D
45,650,1.503076923,138912.25,0.22,14.76020114,0.124,0.09,0.072,0.059,0.069,0.064,0.064,0.731765365,29,D
47,1041,1.330451489,277727.75,0.19,15.4425764,0.152,0.091,0.067,0.039,0.053,0.06,0.067,0.784363424,31,D
48,961,1.097814776,213707.167,0.21,14.7947882,0.16,0.095,0.067,0.046,0.044,0.05,0.068,0.731127679,32,D
52,879,1.153583618,211226.667,0.24,14.63506357,0.124,0.095,0.075,0.054,0.053,0.054,0.06,0.789379008,35,D
54,904,1.08960177,255902.833,0.29,14.68991613,0.122,0.079,0.067,0.048,0.045,0.054,0.055,0.809465879,37,D
57,1057,1.272469253,279617,0.2,15.34931043,0.166,0.107,0.076,0.039,0.038,0.039,0.067,0.80458221,40,D
