ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,WC,IDNumber,Type
86,1422,1017,0.715189873,1303.98153,0.917005296,386656.25,0.27,1.831,1.573,15.36472836,0.257,0.164,0.121,0.098,0.081,0.068,0.051,0.035,0.027,0.026,0.029,0.043,0.049,0.314,0.251,0.155,0.097,0.134,0.829397904,64,
87,1083,1264,1.167128347,1300.023747,1.200391271,297593.167,0.22,1.783,1.526,15.11547483,0.294,0.17,0.109,0.078,0.062,0.051,0.047,0.042,0.04,0.04,0.037,0.031,0.064,0.339,0.216,0.14,0.102,0.139,0.80790248,65,
88,1265,1434,1.133596838,1643.031662,1.298839259,449129.417,0.25,1.793,1.578,15.44517178,0.295,0.175,0.117,0.085,0.066,0.053,0.043,0.037,0.034,0.032,0.033,0.03,0.053,0.372,0.225,0.13,0.091,0.13,0.830828176,66,
89,909,739,0.812981298,972.8469657,1.070238686,210320.25,0.31,1.84,1.495,14.61020125,0.302,0.141,0.087,0.064,0.051,0.043,0.039,0.037,0.033,0.038,0.064,0.101,0.08,0.295,0.178,0.099,0.082,0.267,0.777685701,67,
90,1218,1389,1.140394089,1466.25066,1.203818276,399317.917,0.24,1.814,1.564,15.56927494,0.264,0.136,0.096,0.07,0.06,0.056,0.058,0.058,0.055,0.057,0.05,0.043,0.052,0.282,0.196,0.151,0.131,0.188,0.767177505,68,
92,1220,1652,1.354098361,2363.348285,1.937170725,197754.917,0.1,1.663,1.468,15.34251583,0.402,0.189,0.126,0.096,0.064,0.04,0.024,0.015,0.014,0.012,0.009,0.007,0.082,0.438,0.261,0.127,0.052,0.04,0.724283084,69,
93,1221,1271,1.040950041,1405.564644,1.151158594,343890.333,0.22,1.787,1.551,15.20690949,0.321,0.179,0.114,0.085,0.063,0.048,0.037,0.034,0.03,0.025,0.027,0.038,0.063,0.352,0.214,0.143,0.097,0.131,0.823257024,70,
94,1230,972,0.790243902,1414.799472,1.150243473,597440.917,0.5,1.859,1.635,15.48531045,0.139,0.143,0.125,0.094,0.081,0.073,0.061,0.054,0.048,0.05,0.055,0.076,0.033,0.226,0.21,0.173,0.143,0.216,0.836773899,71,
95,1230,1348,1.095934959,1457.015831,1.184565716,549556.5,0.33,1.834,1.607,15.53358163,0.226,0.153,0.115,0.088,0.069,0.062,0.055,0.043,0.034,0.033,0.045,0.077,0.051,0.277,0.217,0.155,0.107,0.192,0.852870136,72,
96,1228,1159,0.943811075,1418.757256,1.155339785,407062.5,0.29,1.822,1.581,15.34158878,0.246,0.163,0.108,0.082,0.073,0.062,0.053,0.045,0.039,0.036,0.044,0.049,0.056,0.29,0.221,0.153,0.119,0.162,0.830103129,73,
97,1184,840,0.709459459,1259.126649,1.063451562,358468.25,0.36,1.829,1.565,15.10854479,0.229,0.184,0.146,0.105,0.082,0.069,0.058,0.043,0.03,0.026,0.017,0.012,0.061,0.321,0.219,0.152,0.117,0.129,0.823884408,74,
