ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,Wf(g),Wd(g),WC,,Wf-Wd,Wd/Wf
60,856,698,0.815420561,863.095,1.008288551,133989.417,0.224254574,1.802,1.437,14.28933708,0.296,0.158,0.096,0.074,0.062,0.052,0.039,0.031,0.033,0.035,0.052,0.073,0.071,0.327,0.188,0.131,0.095,0.187,62.21000003,11.35,0.817553448,,31.44000002,0.163162097
61,814,756,0.928746929,796.769,0.978831695,133574.083,0.217058102,1.818,1.431,14.2390865,0.263,0.14,0.093,0.066,0.058,0.054,0.041,0.04,0.039,0.045,0.05,0.112,0.065,0.268,0.176,0.141,0.108,0.242,65.66999999,11.95,0.818029542,,34.63,0.200230947
62,881,786,0.892167991,872.049,0.989839955,128762.25,0.185947397,1.775,1.426,14.27876438,0.327,0.18,0.108,0.065,0.041,0.034,0.033,0.032,0.034,0.042,0.051,0.054,0.08,0.377,0.182,0.105,0.084,0.172,65.62000003,12.31,0.812404755,,51.07000001,0.182356708
63,615,762,1.23902439,793.185,1.289731707,90246.75,0.192575699,1.774,1.379,13.95333018,0.273,0.158,0.109,0.064,0.051,0.048,0.049,0.052,0.048,0.046,0.052,0.051,0.08,0.291,0.191,0.144,0.125,0.17,42.72000001,8.370000004,0.804073034,,47.61999998,0.20606869
65,878,780,0.888382688,826.49,0.941332574,137056.75,0.200129592,1.795,1.435,14.26377533,0.301,0.149,0.094,0.064,0.055,0.048,0.048,0.045,0.046,0.048,0.052,0.049,0.074,0.305,0.186,0.14,0.114,0.181,57.53999999,11.47,0.80066041,,26.42000001,0.222941176
67,677,816,1.205317578,859.356,1.269358936,78076.75,0.141332779,1.728,1.359,13.87289212,0.327,0.149,0.094,0.084,0.076,0.065,0.059,0.052,0.04,0.027,0.013,0.013,0.084,0.342,0.216,0.183,0.115,0.061,32.61000001,6.389999998,0.804047838,,68.46000001,0.16144047
68,786,669,0.851145038,695.294,0.884597964,114487.25,0.217725081,1.798,1.417,14.23612987,0.27,0.17,0.109,0.073,0.053,0.042,0.035,0.032,0.031,0.036,0.053,0.095,0.082,0.305,0.195,0.122,0.081,0.215,54.28,9.369999998,0.827376566,,27.58000001,0.18546958
69,617,760,1.231766613,813.773,1.318918963,94826.167,0.202222484,1.782,1.385,14.08335268,0.305,0.156,0.098,0.067,0.056,0.047,0.044,0.037,0.035,0.04,0.055,0.061,0.076,0.302,0.206,0.132,0.104,0.181,51.88999998,9.369999998,0.819425708,,6.470000005,0.289010989
70,907,1009,1.112458655,1111.303704,1.225252154,111537.417,0.121877105,1.731,1.411,14.25296996,0.333,0.157,0.109,0.083,0.068,0.058,0.048,0.039,0.033,0.028,0.02,0.025,0.087,0.34,0.234,0.155,0.093,0.091,56.25,9.330000001,0.834133333,,26.05,0.173540609
72,1065,1070,1.004694836,1240.892,1.165156808,181194.833,0.159005601,1.735,1.474,14.82298378,0.375,0.184,0.102,0.069,0.049,0.04,0.041,0.039,0.037,0.029,0.021,0.015,0.078,0.392,0.218,0.139,0.09,0.083,79.71999997,14.34,0.820120421,,58.17000002,0.187115707
73,1097,880,0.802187785,1043.228,0.95098268,194483.417,0.201462063,1.745,1.484,14.91269658,0.375,0.18,0.099,0.064,0.049,0.042,0.04,0.041,0.038,0.03,0.022,0.02,0.077,0.392,0.212,0.131,0.1,0.088,74.23999996,16.2,0.781788793,,47.36999998,0.191776147
74,810,962,1.187654321,979.204,1.208893827,91736.083,0.117728091,1.695,1.381,14.12895138,0.397,0.179,0.094,0.065,0.052,0.052,0.045,0.039,0.03,0.018,0.012,0.017,0.079,0.408,0.217,0.154,0.085,0.057,37.57000002,6.13,0.836837903,,68.84,0.180866254
76,778,864,1.110539846,1001.891,1.287777635,125468.583,0.186655871,1.737,1.427,14.63671386,0.412,0.161,0.094,0.066,0.049,0.043,0.039,0.036,0.032,0.03,0.022,0.016,0.087,0.39,0.199,0.143,0.1,0.082,43.3,8.670000002,0.799769053,,42.46999998,0.204234589
79,1224,969,0.791666667,1253.67,1.024240196,146173.667,0.123243478,1.678,1.443,14.60396288,0.448,0.176,0.103,0.078,0.06,0.042,0.029,0.021,0.015,0.011,0.009,0.009,0.078,0.489,0.228,0.112,0.056,0.037,62.46000001,11.38999999,0.817643292,,48.37999998,0.195944823
80,899,978,1.087875417,1036.186,1.152598443,148398.333,0.168783689,1.77,1.445,14.78015726,0.397,0.167,0.105,0.064,0.043,0.039,0.042,0.039,0.034,0.027,0.024,0.018,0.072,0.345,0.205,0.137,0.102,0.139,59.97999998,12.36,0.79393131,,44.18,0.166729536
